SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,Crustal_Thickness
61.33,0.81,16.35,6.99,0.16,2.3,5.94,3.93,1.97,0.23,14,30.1,4.36,19.5,5.24,1.39,5.96,1.02,6.47,1.37,3.91,0.58,3.78,0.6,286,34.6,36.7,358,3.83,3.53,0.24,2.3,6.91
56.66,0.75,18.43,7.76,0.17,2.92,8.26,3.7,1.19,0.16,9.17,19.6,2.92,13.3,3.7,1.2,4.3,0.75,4.74,1.01,2.86,0.43,2.8,0.46,365,26.1,19,244,2.17,2.09,0.14,1.27,6.91
59.37,0.91,15.56,9.44,0.22,2.11,6.45,4.03,1.66,0.23,14.01,29.65,4.27,19.63,5.09,1.47,5.63,0.97,6.07,1.28,3.7,0.61,3.77,0.61,293,38.4,38.7,349,3.55,2.59,0.16,2.06,6.98
60.81,0.93,14.37,9.48,0.18,3.6,6.5,3.41,0.61,0.11,5.7,8.52,1.5,8.26,2.93,1.13,4.06,0.72,4.96,1.05,3.08,0.47,3.17,0.48,172,32,7.72,55,1.79,0.9,2.19,0.18,9.18
55.66,0.86,17.94,7.73,0.18,3.64,8.51,3.89,1.36,0.22,12,23.9,3.13,15.1,3.33,1.03,3.72,0.61,3.87,0.83,2.31,0.39,2.33,0.32,509,26.3,21.1,258,2.7,4.78,0.29,1.51,10.49
67.71,0.51,15.31,5.2,0.16,1.59,5.67,3.16,0.57,0.11,3.69,10.08,1.73,9.37,3.45,1.14,4.76,0.91,6.29,1.44,4.26,0.7,4.38,0.74,160,33,8.9,174,2.23,0.4,0.037,0.333,11.04
56,0.72,18.35,8.73,0.18,3.27,10.32,2.09,0.26,0.08,1.42,3.99,0.72,4.07,1.56,0.63,2.16,0.42,2.75,0.58,1.79,0.28,1.87,0.28,184,22,2.5,71,0.98,0.14,0.016,0.18,11.04
57.3,0.71,17.69,8.71,0.18,3.32,9.68,2.06,0.26,0.08,1.68,4.69,0.87,4.9,2.06,0.82,3.07,0.61,4.08,0.94,2.74,0.49,2.86,0.47,169,24,3.2,83,1.09,0.17,0.01,0.133,11.04
56.92,0.98,15.93,10.78,0.22,3.58,8.47,2.52,0.47,0.14,2.79,7.58,1.29,7.08,2.37,0.86,3.19,0.56,3.9,0.83,2.41,0.42,2.51,0.39,189,27,8.2,120,1.6,0.42,0.031,0.439,11.04
57.27,0.8,17.09,6.97,0.15,4.18,8.2,3.04,1.98,0.31,13.7,29.1,3.99,19.2,4.26,1.35,4.39,0.66,3.73,0.78,2.11,0.35,2.31,0.36,736,22.3,31.3,174,2.88,2.84,0.186,1.98,12.46
71.94,0.65,14.71,3.05,0.08,0.63,2.24,2.71,3.85,0.14,15.8,34.8,5,20.7,5,1.1,5.1,0.9,5.5,1.2,3.6,0.6,4,0.6,198,36,56,505,5.9,4.6,0.2,2.7,18.62
69.41,0.78,14.98,4.16,0.15,0.95,2.74,3.42,3.17,0.24,12.7,28.3,4.2,17.9,4.6,1.2,4.8,0.8,5.3,1.1,3.4,0.5,3.7,0.6,239,34,37,430,4.1,3,0.1,1.8,18.62
74.39,0.4,13.83,1.97,0.1,0.24,0.88,3.45,4.67,0.07,9.6,21.4,3.1,13.5,3.5,0.7,3.9,0.7,4.6,1,3.2,0.5,3.7,0.6,143,32,24,361,3.9,2.2,0.1,1.2,20.04
56.05,0.54,21.92,4.52,0.16,1.2,3.38,5.29,6.55,0.39,11.3,25.3,3.7,15.7,4.2,0.9,4.6,0.8,5.5,1.2,3.8,0.6,4.4,0.7,197,37,28,432,4.6,2.5,0.1,1.4,20.04
59.77,1.16,14.61,10.33,0.22,2.57,6.83,3.57,0.77,0.16,4.68,13.4,2.29,13,4.27,1.44,5.63,1.03,6.66,1.52,3.87,0.61,4.32,0.62,251,44.1,10.9,281,2.71,0.68,0.06,0.471,20.25
59.62,1.16,14.63,10.35,0.22,2.6,6.9,3.56,0.77,0.18,4.22,13,2.18,11.7,3.82,1.3,4.9,0.92,6.29,1.36,3.64,0.6,3.91,0.6,226,39.5,9.47,264,2.7,0.69,0.06,0.467,20.25
56.87,1.29,14.87,11.47,0.24,3.39,7.79,3.2,0.7,0.18,4.16,13.1,2.15,12.1,3.85,1.39,5.3,0.96,6.12,1.4,3.8,0.6,4.17,0.6,244,40.2,10.1,251,2.37,0.63,0.054,0.435,20.25
55.93,1.33,14.69,12.21,0.24,3.59,8.03,3.14,0.67,0.17,4.15,12.6,2.08,11.7,3.67,1.39,5.06,0.952,6.23,1.38,3.68,0.609,4.05,0.597,257,38.2,9.62,249,2.32,0.629,0.0574,0.395,20.25
55.84,1.34,14.69,12.3,0.24,3.63,8.05,3.07,0.66,0.17,4.25,12.1,2.18,11.3,3.69,1.37,4.84,0.937,5.98,1.36,3.64,0.574,3.92,0.576,242,39.5,9.41,243,2.31,0.631,0.0564,0.394,20.25
55.82,1.26,14.97,12,0.24,3.77,8.22,3,0.56,0.15,3.66,10.8,1.86,10.1,3.36,1.24,4.52,0.86,5.59,1.21,3.36,0.53,3.61,0.53,246,35.8,8.07,204,2.01,0.56,0.05,0.335,20.25
59.61,1.18,16.91,7.54,0.19,2.57,6.2,4.83,0.78,0.18,7.6,19.2,2.81,14.7,5.06,1.76,6.4,1.21,8.07,1.76,4.9,0.75,4.73,0.77,185,46.3,19,145,3.62,1.14,0.1,1.69,20.71
